anunciante,area_privativa,area_total,atualizacao,bairro,banheiros,cidade,cod_imovel,creci,data_publicacao,dce,endereco,garagem,idade_imovel,quartos,suites,url,valor_condominio,valor_imovel,valor_iptu,valor_mt2
FCA IMOBILIÁRIA,33m²,,,Residencial Sol Nascente I,1,Águas Lindas de Goiás,1051873363,,2022-06-30,,Quadra 3,,,1,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/imperdivel-venha-conhecer-os-diferenciais-compra-deste-imovel-aguas-lindas-de-goias-go-1051873363,R$ 0,R$ 52.136,R$ 0,
FCA IMOBILIÁRIA,68m²,,,Jardim Ana Beatriz I,1,Santo Antônio do Descoberto,1051874536,,2022-06-30,,Quadra 9,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/imperdivel-venha-conhecer-os-diferenciais-compra-deste-imovel-santo-antonio-do-descober-1051874536,R$ 0,R$ 69.275,R$ 0,
FCA IMOBILIÁRIA,68m²,,,Parque Estrela Dalva XII,1,Santo Antônio do Descoberto,1051874807,,2022-06-30,,Quadra 31,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/imperdivel-venha-conhecer-os-diferenciais-compra-deste-imovel-santo-antonio-do-descober-1051874807,R$ 0,R$ 65.672,R$ 0,
FCA IMOBILIÁRIA,59m²,,,Mansões Recreio Mossoró,1,Cidade Ocidental,1051875434,,2022-06-30,,Quadra 4,,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/imperdivel-venha-conhecer-os-diferenciais-compra-deste-imovel-cidade-ocidental-go-man-1051875434,R$ 0,R$ 64.219,R$ 0,
FCA IMOBILIÁRIA,50m²,,,Jardim América I,1,Águas Lindas de Goiás,1051875807,,2022-06-30,,Quadra 18,,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/imperdivel-venha-conhecer-os-diferenciais-compra-deste-imovel-aguas-lindas-de-goias-go-1051875807,R$ 0,R$ 51.540,R$ 0,
FCA IMOBILIÁRIA,48m²,,,Dom Bosco,1,Cidade Ocidental,1051875900,,2022-06-30,,Quadra 11,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/imperdivel-venha-conhecer-os-diferenciais-compra-deste-imovel-cidade-ocidental-go-dom-1051875900,R$ 0,R$ 57.082,R$ 0,
FCA IMOBILIÁRIA,64m²,,,Jardim Ana Beatriz I,1,Santo Antônio do Descoberto,1051881725,,2022-06-30,,Quadra 24,,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/imperdivel-venha-conhecer-os-diferenciais-compra-deste-imovel-santo-antonio-do-descober-1051881725,R$ 0,R$ 56.993,R$ 0,
FCA IMOBILIÁRIA,57m²,,,Jardim Ana Beatriz I,1,Santo Antônio do Descoberto,1051881720,,2022-06-30,,Quadra 40,,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/imperdivel-venha-conhecer-os-diferenciais-compra-deste-imovel-santo-antonio-do-descober-1051881720,R$ 0,R$ 65.170,R$ 0,
FCA IMOBILIÁRIA,66m²,,,Jardim Ana Beatriz I,1,Santo Antônio do Descoberto,1051881756,,2022-06-30,,Quadra 15,,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/imperdivel-venha-conhecer-os-diferenciais-compra-deste-imovel-santo-antonio-do-descober-1051881756,R$ 0,R$ 53.757,R$ 0,
Ian,,,,Ypiranga,1,Valparaíso de Goiás,1051898048,,2022-06-30,,Quadra 1,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-de-apartamento-no-bairro-ypiranga-em-valparaiso-1051898048,,R$ 19.900,,
FCA IMOBILIÁRIA,67m²,,,Jardim América IV,1,Águas Lindas de Goiás,1051898340,,2022-06-30,,Quadra 106,,,3,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/imperdivel-venha-conhecer-os-diferenciais-compra-deste-imovel-aguas-lindas-de-goias-go-1051898340,R$ 0,R$ 65.395,R$ 0,
FCA IMOBILIÁRIA,69m²,,,Mansões Pôr do Sol,1,Águas Lindas de Goiás,1051906723,,2022-06-30,,Quadra QB 27,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/imperdivel-venha-conhecer-os-diferenciais-compra-deste-imovel-aguas-lindas-de-goias-go-1051906723,R$ 0,R$ 80.359,R$ 0,
Kaio marques,,,,Mansões Recreio Mossoró,1,Cidade Ocidental,1051908040,,2022-06-30,,Quadra 7,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-de-apartamento-1051908040,R$ 0,R$ 16.000,,
Ronaldo,49m²,,,Parque Esplanada II,1,Valparaíso de Goiás,1049214106,,2022-06-30,,"Rua 8 (Quadras 33,34,37,38)",1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-2q-valparaiso-1049214106,R$ 205,R$ 95.000,R$ 200,
FCA IMOBILIÁRIA,57m²,,,Parque Nápolis B,1,Cidade Ocidental,1051909373,,2022-06-30,,Quadra 80,,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/imperdivel-venha-conhecer-os-diferenciais-compra-deste-imovel-cidade-ocidental-go-par-1051909373,R$ 0,R$ 59.299,R$ 0,
DINARTE MELO GOUVEIA,44m²,,,Cidade Jardins - Etapa B,1,Valparaíso de Goiás,1051911604,,2022-06-30,,QC 03 (Rossi Prq N Cidade I),1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-agio-1051911604,R$ 143,R$ 40.000,R$ 207,
Henrique,,,,Parque Esplanada II,1,Valparaíso de Goiás,1051929816,,2022-06-30,,Quadra 1,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-apartamento-planejado-valparaiso-1051929816,,R$ 37.500,,
Glauco,53m²,,,,1,Valparaíso De Goiás,1051943516,,2022-06-30,,,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-valparaiso-parque-das-flores-1051943516,R$ 66,R$ 100.000,,
profdouglas19@gmail.com,,,,Jardim Céu Azul,1,Valparaíso de Goiás,1051944367,,2022-06-30,,"Rua 85 (Quadras 143,144,167,168,185,186)",1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-de-apartamento-com-quintal-30mil-1051944367,R$ 130,R$ 30.000,,
Gustavo Dantas,60m²,,,Valparaiso I - Etapa D,1,Valparaíso de Goiás,1051949408,,2022-06-30,,Quadra 2,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-varandas-1-terreo-frontal-quintal-com-cobertura-1051949408,R$ 140,R$ 40.000,R$ 0,
SAROM IMÓVEIS,53m²,,,Parque Esplanada III,1,Valparaíso de Goiás,1051954439,,2022-06-30,,Quadra 11,1,,3,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-tres-quartos-na-esplanada-iii-valparaiso-de-goias-1051954439,R$ 0,R$ 198.000,,
Ricardo AraÃºjo Teixeira de Freitas,65m²,,,Santa Luzia,2,Luziânia,1023832236,,2022-06-30,,Avenida Hélio Rodrigue de Queiroz,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vende-apto-02-quartos-sendo-01-suite-res-santa-luzia-lza-1023832236,R$ 220,R$ 165.000,R$ 0,
André L. C. Nascimento,45m²,,,Parque das Cachoeiras,1,Valparaíso de Goiás,974122180,,2022-06-30,,Condomínio Residencial 10 Bloco D,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-reserva-parque-valparaiso-974122180,R$ 247,R$ 46.000,R$ 0,
SAROM IMÓVEIS,46m²,,,Parque Esplanada III,1,Valparaíso de Goiás,1051961413,,2022-06-30,,Quadra 11,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-dois-quartos-na-esplanada-iii-valparaiso-de-goias-1051961413,,R$ 189.900,,
Face Consultoria e Assessoria Imobiliaria LTDA,44m²,,,Jardim do Ingá,1,Luziânia,1028110509,,2022-06-30,,Avenida Doutor Danton Jobim,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/lindo-apartamento-pronto-para-morar-no-jardim-inga-atras-do-hospital-1028110509,R$ 0,R$ 135.000,R$ 0,
Face Consultoria e Assessoria Imobiliaria LTDA,68m²,,,Parque Rio Branco,1,Valparaíso de Goiás,1037077292,,2022-07-08,,Rua H (Quadras 18 a 21),,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-novo-no-valparaiso-2-1037077292,R$ 0,R$ 140.000,R$ 0,
Victor Franca silva,,,,Parque Estrela Dalva I,1,Luziânia,1049278105,,2022-06-30,,,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-atras-da-faculdade-unidesc-1049278105,R$ 70,R$ 15.000,,
CASA BELLA IMÓVEIS,56m²,,,Ypiranga,1,Valparaíso de Goiás,1051976908,,2022-06-30,,Rua Ypiranga,2,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-de-apartamento-no-bairro-ypiranga-em-valparaiso-1051976908,R$ 0,R$ 27.999,R$ 0,
CASA BELLA IMÓVEIS,50m²,,,Ypiranga,1,Valparaíso de Goiás,1043496793,,2022-06-30,,Rua Ypiranga,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/more-bem-agio-de-um-apartamento-terreo-com-lazer-na-divisa-de-valparaiso-com-o-df-1043496793,R$ 0,R$ 29.999,R$ 0,
Baroli Imóveis,50m²,,,Chácaras Anhangüera,1,Valparaíso de Goiás,1015212531,,2022-06-30,,"Rua Rio de Janeiro (Quadras 02,03,05,06,09,10)",1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-com-2-quartos-50-m-por-r-160-000-parque-rio-branco-valparaiso-de-goias-1015212531,R$ 250,R$ 160.000,R$ 0,
CASA BELLA IMÓVEIS,68m²,,,Setor de Chácaras Anhangüera B,1,Valparaíso de Goiás,1051985475,,2022-06-30,,Quadra 24,2,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-para-venda-tem-68-metros-quadrados-com-2-quartos-1051985475,R$ 0,R$ 181.800,R$ 0,
André L. C. Nascimento,50m²,,,Parque das Cachoeiras,1,Valparaíso de Goiás,1024008699,,2022-06-30,,Conjunto Residencial CR-11 Conjunto 1,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-reserva-parque-pne-1024008699,R$ 0,R$ 58.000,R$ 0,
Confira outras opções em meu site Gabi Silva Imóveis,220m²,,,Valparaiso I - Etapa D,3,Valparaíso de Goiás,1051989431,,2022-06-30,,Quadra 10,4,,4,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-casa-no-valparaiso-1-etapa-d-aceita-financiamento-1051989431,R$ 0,R$ 370.000,R$ 0,
Rogério Oliveira Martins,70m²,,,Parque Nápolis B,2,Cidade Ocidental,1052003171,,2022-06-30,,Quadra 77,2,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-ou-troco-agil-de-apartamento-1052003171,R$ 0,R$ 40.000,R$ 140,
Confira outras opções em meu site Gabi Silva Imóveis,47m²,,,Ypiranga,1,Valparaíso de Goiás,1052008381,,2022-06-30,,,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-no-ipiranga-terreo-1052008381,R$ 0,R$ 25.999,R$ 0,
Confira outras opções em meu site Gabi Silva Imóveis,47m²,,,Cidade Jardins,1,Valparaíso de Goiás,1052008938,,2022-06-30,,Quadra QC 01 Conjunto A Bloco 5,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-na-cidade-jardins-valparaiso-aceito-carro-1052008938,R$ 0,R$ 33.000,R$ 0,
ALEX SANTOS,44m²,,,Parque das Cachoeiras,1,Valparaíso de Goiás,1052009495,,2022-06-30,,Conjunto Residencial 7 Condomínio 1 Bloco A,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-para-venda-tem-44-metros-quadrados-com-2-quartos-1052009495,R$ 0,R$ 109.000,R$ 0,
FCA IMOBILIÁRIA,69m²,,,Jardim Ana Beatriz II,1,Santo Antônio do Descoberto,1052010836,,2022-06-30,,Quadra 61,,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/imperdivel-venha-conhecer-os-diferenciais-compra-deste-imovel-santo-antonio-do-descober-1052010836,R$ 0,R$ 56.943,R$ 0,
Confira outras opções em meu site Gabi Silva Imóveis,220m²,,,Valparaiso I - Etapa D,3,Valparaíso de Goiás,1052010955,,2022-06-30,,Quadra 11,4,,4,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-casa-no-valparaiso-1-etapa-d-aceita-financiamento-1052010955,R$ 0,R$ 370.000,R$ 0,
SAROM IMÓVEIS,113000m²,,,Parque Esplanada III,1,Valparaíso de Goiás,1052014162,,2022-06-30,,Quadra 11,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-dois-quartos-terreo-fundos-na-esplanada-iii-valparaiso-de-goias-1052014162,,R$ 249.000,,
cintiamayara52,65m²,,,Valparaiso I - Etapa C,2,Valparaíso de Goiás,1039321584,,2022-06-30,,Quadra 1,2,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-casa-duplex-aceito-carro-1039321584,R$ 130,R$ 48.000,R$ 0,
Confira outras opções em meu site Gabi Silva Imóveis,47m²,,,Cidade Jardins,1,Valparaíso de Goiás,1052017035,,2022-06-30,,Quadra QC 01 Conjunto A Bloco 4,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-na-cidade-jardins-valparaiso-aceito-carro-1052017035,R$ 0,R$ 33.000,R$ 0,
naty09,,,,Valparaiso I - Etapa C,1,Valparaíso de Goiás,1052017451,,2022-06-30,,Bloco E (Comércio),1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-agio-parque-clube-1052017451,,R$ 39.000,,
CASA BELLA IMÓVEIS,200m²,,,Parque das Cachoeiras,2,Valparaíso de Goiás,1052099539,,2022-06-30,,Conjunto Residencial CR-11 Conjunto 1,,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/venha-construir-aqui-sua-casa-com-muita-seguranca-e-lazer-em-valparaiso-1052099539,R$ 0,R$ 124.498,R$ 0,
Face Consultoria e Assessoria Imobiliaria LTDA,67m²,,,Jardim do Ingá,1,Luziânia,1049005732,,2022-06-30,,Rua Fernando Dias Paes,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-atras-do-hospital-do-jardim-inga-ate-100-financiado-1049005732,R$ 0,R$ 140.000,R$ 0,
Face Consultoria e Assessoria Imobiliaria LTDA,52m²,,,Jardim Oriente,1,Valparaíso de Goiás,1031476636,,2022-06-30,,Rua 1 (Quadras 56 a 61),,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/compre-seu-apartamento-no-valparaiso-otimas-condicoes-para-voce-sair-do-aluguel-1031476636,R$ 0,R$ 145.000,R$ 0,
Renatinho Brodis,48m²,,,Parque Esplanada III,1,Valparaíso de Goiás,1052101806,,2022-06-30,,Quadra 1,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-de-apartamento-valparaiso-aceita-carro-1052101806,R$ 220,R$ 33.001,R$ 200,
Confira outras opções em meu site Gabi Silva Imóveis,47m²,,,Cidade Jardins,1,Valparaíso de Goiás,1052115039,,2022-06-30,,Quadra QC 01 Conjunto A Bloco 8,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-na-cidade-jardins-valparaiso-aceito-carro-1052115039,R$ 0,R$ 33.000,R$ 0,
Victor Hugo,60m²,,,Núcleo Habitacional Novo Gama,1,Novo Gama,1052117142,,2022-06-30,,Condomínio Parque Lousã (Conjunto 06 HC Seção SAM 400),1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-2-quartos-com-sacada-reformado-com-armarios-novo-gama-condominio-1052117142,R$ 260,R$ 143.000,R$ 0,
Confira outras opções em meu site Gabi Silva Imóveis,47m²,,,Cidade Jardins,1,Valparaíso de Goiás,1052122233,,2022-06-30,,Quadra QC 01 Conjunto A Bloco 8,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-na-cidade-jardins-valparaiso-aceito-carro-1052122233,R$ 0,R$ 33.000,R$ 0,
Railene C. M. Deus,62m²,,,Parque da Barragem Setor 08,2,Águas Lindas de Goiás,1043321904,,2022-07-08,,Quadra 23 Conjunto A,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/aguas-lindas-agio-apartamento-lazer-completo-25-999-1043321904,R$ 0,R$ 25.999,R$ 0,
Faty,65m²,,,Parque das Cachoeiras,2,Valparaíso de Goiás,1052129486,,2022-06-30,,Conjunto Residencial 5 Condomínio 1,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-apartamento-1052129486,R$ 269,R$ 130.000,,
Baroli Imóveis,61m²,,,Ypiranga,1,Valparaíso de Goiás,1015212166,,2022-06-30,,Rua Marajó,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-com-2-dormitorios-a-venda-61-m-por-r-200-000-00-ipiranga-valparaiso-de-1015212166,R$ 230,R$ 200.000,R$ 230,
JRV IMOVEIS LTDA,44m²,,,Parque das Cachoeiras,1,Valparaíso de Goiás,1015117882,,2022-06-30,,Conjunto Residencial 7 Condomínio 1,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-parque-clube-ii-1015117882,R$ 0,R$ 110.000,R$ 0,
CASA BELLA IMÓVEIS,56m²,,,Ypiranga,1,Valparaíso de Goiás,1052167538,,2022-06-30,,Rua Ypiranga,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-agio-de-um-apartamento-terreo-em-valparaiso-perto-do-ultrabox-no-ypiranga-1052167538,R$ 0,R$ 27.999,R$ 0,
claricefelippelli,50m²,,,Parque Esplanada III,1,Valparaíso de Goiás,1052170011,,2022-06-30,,Quadra 13,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apt-de-2-quartos-em-valparaiso-de-goias-1052170011,,R$ 100.000,R$ 230,
Edna buffet ,80m²,,,Cidade Jardins,1,Valparaíso de Goiás,1052176951,,2022-06-30,,Quadra QC 01 Conjunto B Bloco 5,,,3,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-agio-de-apartamento-na-cidade-jardins-valparaiso-3-quartos-zap-1052176951,R$ 50,R$ 60.000,,
Eduarda Nascimento,60m²,,,Mansões Centro Oeste,1,Águas Lindas de Goiás,1052177911,,2022-06-30,,Alameda Santa Luzia,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-agil-aguas-lindas-1052177911,,R$ 30.000,,
Felipe dias,65m²,,,Jardim da Barragem V,1,Águas Lindas de Goiás,1052183548,,2022-06-30,,Quadra 14,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-apartamento-1052183548,R$ 0,R$ 25.000,R$ 0,
ana beatryz marques,,,,Ypiranga,1,Valparaíso de Goiás,1052195671,,2022-06-30,,Rua Ypiranga,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-1052195671,R$ 70,R$ 23.000,,
CASA BELLA IMÓVEIS,56m²,,,Setor de Chácaras Anhangüera B,1,Valparaíso de Goiás,1018722552,,2022-06-30,,Quadra 24,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/saia-ja-do-aluguel-lindos-aptos-de-2-qts-em-cond-fechado-em-valparaiso-go-em-ate-100-f-1018722552,R$ 0,R$ 138.000,R$ 0,
Matheus dos Santos Veloso,65m²,,,Setor Leste,1,Luziânia,1026089406,,2022-07-08,,Rua 20,2,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-agio-de-lindo-apartamento-com-moveis-e-armarios-planejados-setor-leste-1026089406,R$ 0,R$ 60.000,R$ 0,
Face Consultoria e Assessoria Imobiliaria LTDA,44m²,,,Ypiranga,1,Valparaíso de Goiás,1023179336,,2022-07-01,,Rua Ypiranga,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-para-financiamento-valparaiso-de-goias-go-1023179336,R$ 0,R$ 118.000,R$ 0,
Eliezer Fernandes,46m²,,,Parque Esplanada III,1,Valparaíso de Goiás,1052213667,,2022-07-01,,Quadra 36,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-para-venda-tem-46-metros-quadrados-com-2-quartos-1052213667,R$ 188,R$ 140.000,R$ 0,
rcp.paulo,,,,,1,Águas Lindas De Goiás,1052216549,,2022-07-01,,,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-ou-troco-por-carro-ap-em-aguas-lindas-atras-do-shopping-1052216549,,R$ 20.000,R$ 300,
CASA BELLA IMÓVEIS,53m²,,,Setor de Chácaras Anhangüera B,1,Valparaíso de Goiás,1030052605,,2022-07-01,,Quadra 26,,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/ultimos-apartamentos-disponiveis-no-resid-saint-moritz-financiados-em-ate-100-1030052605,R$ 0,R$ 138.000,R$ 0,
